tag_id,canonical_name,has_definition_short,definition_short_len,has_definition_long,alias_count,has_examples,has_scope_includes_excludes,has_extraction_notes_2d,has_extraction_notes_3d,relation_count,current_priority
affect.cozy,Cozy,False,0,False,0,False,False,False,False,0,P0
affect.jarring,Jarring,False,0,False,0,False,False,False,False,0,P0
affect.scary,Scary,False,0,False,0,False,False,False,False,0,P0
affect.tranquil,Tranquil,False,0,False,0,False,False,False,False,0,P0
affect.welcoming,Welcoming,False,0,False,0,False,False,False,False,0,P0
affordance.isovist_area,Isovist Area,False,0,False,0,False,False,False,False,0,P0
affordance.seating_count,Seating Count,False,0,False,0,False,False,False,False,0,P0
arch.pattern.axial_circulation_clear,Axial Circulation Clear,False,0,False,0,False,False,False,False,0,P0
arch.pattern.bay_window,Bay Window,False,0,False,0,False,False,False,False,0,P0
arch.pattern.central_hearth,Central Hearth,False,0,False,0,False,False,False,False,0,P0
arch.pattern.circulation_maze_like,Circulation Maze Like,False,0,False,0,False,False,False,False,0,P0
arch.pattern.colonnade,Colonnade,False,0,False,0,False,False,False,False,0,P0
arch.pattern.corner_window,Corner Window,False,0,False,0,False,False,False,False,0,P0
arch.pattern.daylight_hard,Daylight Hard,False,0,False,0,False,False,False,False,0,P0
arch.pattern.daylight_soft,Daylight Soft,False,0,False,0,False,False,False,False,0,P0
arch.pattern.double_height_space,Double Height Space,False,0,False,0,False,False,False,False,0,P0
arch.pattern.gallery_edge,Gallery Edge,False,0,False,0,False,False,False,False,0,P0
arch.pattern.loft_mezzanine,Loft Mezzanine,False,0,False,0,False,False,False,False,0,P0
arch.pattern.long_view_corridor,Long View Corridor,False,0,False,0,False,False,False,False,0,P0
arch.pattern.perimeter_seating,Perimeter Seating,False,0,False,0,False,False,False,False,0,P0
arch.pattern.prospect_strong,Prospect Strong,False,0,False,0,False,False,False,False,0,P0
arch.pattern.refuge_nook,Refuge Nook,False,0,False,0,False,False,False,False,0,P0
arch.pattern.refuge_strong,Refuge Strong,False,0,False,0,False,False,False,False,0,P0
arch.pattern.skylight_dominant,Skylight Dominant,False,0,False,0,False,False,False,False,0,P0
arch.pattern.staircase_sculptural,Staircase Sculptural,False,0,False,0,False,False,False,False,0,P0
arch.pattern.threshold_emphasized,Threshold Emphasized,False,0,False,0,False,False,False,False,0,P0
arch.pattern.window_seat_niche,Window Seat Niche,False,0,False,0,False,False,False,False,0,P0
biophilia.plant_count,Plant Count,False,0,False,0,False,False,False,False,0,P0
cnfa.biophilic.natural_material_ratio,Natural Material Ratio,False,0,False,0,False,False,False,False,0,P0
