rank,tag_id,phase,evidence_type,allowed_inputs,model_families,relation_count
1,env.ae.hard_reflective_surfaces,phase_0_image_2d,image_2d,image_2d,scene_classification,2
2,env.ae.hard_seating,phase_0_image_2d,image_2d,image_2d,scene_classification,2
3,env.ae.high_texture_complexity,phase_0_image_2d,image_2d,image_2d,ocr_text,2
4,env.ae.home-like_decor,phase_0_image_2d,image_2d,image_2d,scene_classification,2
5,env.ae.indoor-outdoor_continuity,phase_0_image_2d,image_2d,image_2d,scene_classification,2
6,env.ae.institutional_decor,phase_0_image_2d,image_2d,image_2d,scene_classification,2
7,env.ae.low_texture_complexity,phase_0_image_2d,image_2d,image_2d,ocr_text,2
8,env.ae.metal_prominent,phase_0_image_2d,image_2d,image_2d,scene_classification,2
9,env.ae.monochrome/minimal_palette,phase_0_image_2d,image_2d,image_2d,scene_classification,2
10,env.ae.natural/earthy_palette,phase_0_image_2d,image_2d,image_2d,scene_classification,2
11,env.ae.nature_imagery,phase_0_image_2d,image_2d,image_2d,scene_classification,2
12,env.ae.open_plan,phase_0_image_2d,image_2d,image_2d,scene_classification,2
13,env.ae.open_windows,phase_0_image_2d,image_2d,image_2d,scene_classification,2
14,env.ae.soft_seating,phase_0_image_2d,image_2d,image_2d,scene_classification,2
15,env.ae.sparse_occupancy,phase_0_image_2d,image_2d,image_2d,scene_classification,2
16,env.ae.stone/marble_prominent,phase_0_image_2d,image_2d,image_2d,scene_classification,2
17,env.ae.strong_verticality,phase_0_image_2d,image_2d,image_2d,scene_classification,2
18,env.ae.surveillance_/_cameras_visible,phase_0_image_2d,image_2d,image_2d,scene_classification,2
19,env.ae.textiles/soft_furnishings,phase_0_image_2d,image_2d,image_2d,ocr_text,2
20,env.ae.visible_dirt/decay,phase_0_image_2d,image_2d,image_2d,scene_classification,2
21,env.ae.visible_windows,phase_0_image_2d,image_2d,image_2d,scene_classification,2
22,env.ae.warm_color_palette,phase_0_image_2d,image_2d,image_2d,scene_classification,2
23,env.ae.well_maintained,phase_0_image_2d,image_2d,image_2d,scene_classification,2
24,env.ae.wood_prominent,phase_0_image_2d,image_2d,image_2d,scene_classification,2
25,env.ae.work_surfaces_present,phase_0_image_2d,image_2d,image_2d,scene_classification,2
26,env.ae.worn/degraded,phase_0_image_2d,image_2d,image_2d,scene_classification,2
27,env.ae.artworks_prominent,phase_1_image_3d,image_3d,image_2d;image_3d,depth_estimation;layout_estimation;multi_view_geometry,2
28,env.ae.barriers/guards_present,phase_1_image_3d,image_3d,image_2d;image_3d,depth_estimation;layout_estimation;multi_view_geometry,2
29,env.ae.clear_circulation_paths,phase_1_image_3d,image_3d,image_2d;image_3d,depth_estimation;layout_estimation;multi_view_geometry,2
30,env.ae.clear_sightlines,phase_1_image_3d,image_3d,image_2d;image_3d,depth_estimation;layout_estimation;multi_view_geometry,2
31,env.ae.compartmentalized_plan,phase_1_image_3d,image_3d,image_2d;image_3d,depth_estimation;layout_estimation;multi_view_geometry,2
32,env.ae.complex_geometry,phase_1_image_3d,image_3d,image_2d;image_3d,depth_estimation;layout_estimation;multi_view_geometry,2
33,env.ae.concrete_prominent,phase_1_image_3d,image_3d,image_2d;image_3d,depth_estimation;layout_estimation;multi_view_geometry,2
34,env.ae.cool_color_palette,phase_1_image_3d,image_3d,image_2d;image_3d,depth_estimation;layout_estimation;multi_view_geometry,2
35,env.ae.curvilinear_forms,phase_1_image_3d,image_3d,image_2d;image_3d,depth_estimation;layout_estimation;multi_view_geometry,2
36,env.ae.daylighting,phase_1_image_3d,image_3d,image_2d;image_3d,depth_estimation;layout_estimation;multi_view_geometry,2
37,env.ae.fans_visible,phase_1_image_3d,image_3d,image_2d;image_3d,depth_estimation;layout_estimation;multi_view_geometry,2
38,env.ae.glass_prominent,phase_1_image_3d,image_3d,image_2d;image_3d,depth_estimation;layout_estimation;multi_view_geometry,2
39,env.ae.high_color_entropy,phase_1_image_3d,image_3d,image_3d,depth_estimation;layout_estimation;multi_view_geometry,2
40,env.ae.high_edge_density,phase_1_image_3d,image_3d,image_3d,depth_estimation;layout_estimation;multi_view_geometry,2
41,env.ae.high_seating_density,phase_1_image_3d,image_3d,image_3d,depth_estimation;layout_estimation;multi_view_geometry,2
42,env.ae.indoor_plants,phase_1_image_3d,image_3d,image_2d;image_3d,depth_estimation;layout_estimation;multi_view_geometry,2
43,env.ae.large_enclosure_volume,phase_1_image_3d,image_3d,image_3d,depth_estimation;layout_estimation;multi_view_geometry,2
44,env.ae.large_window_area,phase_1_image_3d,image_3d,image_3d,depth_estimation;layout_estimation;multi_view_geometry,2
45,env.ae.low_edge_density,phase_1_image_3d,image_3d,image_3d,depth_estimation;layout_estimation;multi_view_geometry,2
46,env.ae.low_spatial_frequency_content,phase_1_image_3d,image_3d,image_3d,depth_estimation;layout_estimation;multi_view_geometry,2
47,env.ae.naturalistic_forms,phase_1_image_3d,image_3d,image_3d,depth_estimation;layout_estimation;multi_view_geometry,2
48,env.ae.rectilinear_forms,phase_1_image_3d,image_3d,image_3d,depth_estimation;layout_estimation;multi_view_geometry,2
49,env.ae.repeating_pattern,phase_1_image_3d,image_3d,image_3d,depth_estimation;layout_estimation;multi_view_geometry,2
50,env.ae.strong_horizontality,phase_1_image_3d,image_3d,image_3d,depth_estimation;layout_estimation;multi_view_geometry,2
51,env.ae.view_to_outdoors,phase_1_image_3d,image_3d,image_2d;image_3d,depth_estimation;layout_estimation;multi_view_geometry,2
52,affordance.isovist_area,phase_1_image_3d,image_3d,image_2d;image_3d,depth_estimation;layout_estimation;multi_view_geometry,0
53,affordance.seating_count,phase_1_image_3d,image_3d,image_2d;image_3d,depth_estimation;layout_estimation;multi_view_geometry,0
54,arch.pattern.axial_circulation_clear,phase_1_image_3d,image_3d,image_2d;image_3d,depth_estimation;layout_estimation;multi_view_geometry,0
55,arch.pattern.bay_window,phase_1_image_3d,image_3d,image_2d;image_3d,depth_estimation;layout_estimation;multi_view_geometry,0
56,arch.pattern.central_hearth,phase_1_image_3d,image_3d,image_2d;image_3d,depth_estimation;layout_estimation;multi_view_geometry,0
57,arch.pattern.circulation_maze_like,phase_1_image_3d,image_3d,image_2d;image_3d,depth_estimation;layout_estimation;multi_view_geometry,0
58,arch.pattern.colonnade,phase_1_image_3d,image_3d,image_2d;image_3d,depth_estimation;layout_estimation;multi_view_geometry,0
59,arch.pattern.corner_window,phase_1_image_3d,image_3d,image_2d;image_3d,depth_estimation;layout_estimation;multi_view_geometry,0
60,arch.pattern.daylight_hard,phase_1_image_3d,image_3d,image_2d;image_3d,depth_estimation;layout_estimation;multi_view_geometry,0
61,arch.pattern.daylight_soft,phase_1_image_3d,image_3d,image_2d;image_3d,depth_estimation;layout_estimation;multi_view_geometry,0
62,arch.pattern.double_height_space,phase_1_image_3d,image_3d,image_2d;image_3d,depth_estimation;layout_estimation;multi_view_geometry,0
63,arch.pattern.gallery_edge,phase_1_image_3d,image_3d,image_2d;image_3d,depth_estimation;layout_estimation;multi_view_geometry,0
64,arch.pattern.loft_mezzanine,phase_1_image_3d,image_3d,image_2d;image_3d,depth_estimation;layout_estimation;multi_view_geometry,0
65,arch.pattern.long_view_corridor,phase_1_image_3d,image_3d,image_2d;image_3d,depth_estimation;layout_estimation;multi_view_geometry,0
66,arch.pattern.perimeter_seating,phase_1_image_3d,image_3d,image_2d;image_3d,depth_estimation;layout_estimation;multi_view_geometry,0
67,arch.pattern.prospect_strong,phase_1_image_3d,image_3d,image_2d;image_3d,depth_estimation;layout_estimation;multi_view_geometry,0
