tag_id,phase,evidence_type,label_type,evidence_required,negative_samples,confusable_tags
env.v2a_070.prospect_refuge_ability_to_see_without_being_seen,phase_2_computed,computed,numeric metric + threshold,computed pipeline outputs,include edge cases and missing evidence,list top 3 likely confusions
env.ae.commercial_branding,phase_2_computed,computed,numeric metric + threshold,computed pipeline outputs,include edge cases and missing evidence,list top 3 likely confusions
env.ae.crowded_space,phase_2_computed,computed,numeric metric + threshold,computed pipeline outputs,include edge cases and missing evidence,list top 3 likely confusions
env.ae.fractal-like_pattern,phase_2_computed,computed,numeric metric + threshold,computed pipeline outputs,include edge cases and missing evidence,list top 3 likely confusions
env.ae.glare_present,phase_2_computed,computed,numeric metric + threshold,computed pipeline outputs,include edge cases and missing evidence,list top 3 likely confusions
env.ae.high_cleanliness,phase_2_computed,computed,numeric metric + threshold,computed pipeline outputs,include edge cases and missing evidence,list top 3 likely confusions
env.ae.high_color_contrast,phase_2_computed,computed,numeric metric + threshold,computed pipeline outputs,include edge cases and missing evidence,list top 3 likely confusions
env.ae.high_contrast_lighting,phase_2_computed,computed,numeric metric + threshold,computed pipeline outputs,include edge cases and missing evidence,list top 3 likely confusions
env.ae.high_fractal_dimension_(2d),phase_2_computed,computed,numeric metric + threshold,computed pipeline outputs,include edge cases and missing evidence,list top 3 likely confusions
env.ae.high_illuminance,phase_2_computed,computed,numeric metric + threshold,computed pipeline outputs,include edge cases and missing evidence,list top 3 likely confusions
env.ae.high_orderliness,phase_2_computed,computed,numeric metric + threshold,computed pipeline outputs,include edge cases and missing evidence,list top 3 likely confusions
env.ae.high_saturation,phase_2_computed,computed,numeric metric + threshold,computed pipeline outputs,include edge cases and missing evidence,list top 3 likely confusions
env.ae.high_spatial_frequency_content,phase_2_computed,computed,numeric metric + threshold,computed pipeline outputs,include edge cases and missing evidence,list top 3 likely confusions
env.ae.high_symmetry,phase_2_computed,computed,numeric metric + threshold,computed pipeline outputs,include edge cases and missing evidence,list top 3 likely confusions
env.ae.low_illuminance,phase_2_computed,computed,numeric metric + threshold,computed pipeline outputs,include edge cases and missing evidence,list top 3 likely confusions
env.ae.low_orderliness,phase_2_computed,computed,numeric metric + threshold,computed pipeline outputs,include edge cases and missing evidence,list top 3 likely confusions
env.ae.low_saturation,phase_2_computed,computed,numeric metric + threshold,computed pipeline outputs,include edge cases and missing evidence,list top 3 likely confusions
env.ae.low_symmetry,phase_2_computed,computed,numeric metric + threshold,computed pipeline outputs,include edge cases and missing evidence,list top 3 likely confusions
env.ae.narrow_corridor,phase_2_computed,computed,numeric metric + threshold,computed pipeline outputs,include edge cases and missing evidence,list top 3 likely confusions
env.ae.occluded_sightlines,phase_2_computed,computed,numeric metric + threshold,computed pipeline outputs,include edge cases and missing evidence,list top 3 likely confusions
env.ae.poor_visibility_/_dark_corners,phase_2_computed,computed,numeric metric + threshold,computed pipeline outputs,include edge cases and missing evidence,list top 3 likely confusions
env.ae.private/enclosed_niche,phase_2_computed,computed,numeric metric + threshold,computed pipeline outputs,include edge cases and missing evidence,list top 3 likely confusions
env.ae.public/exposed_area,phase_2_computed,computed,numeric metric + threshold,computed pipeline outputs,include edge cases and missing evidence,list top 3 likely confusions
env.ae.strong_central_landmark,phase_2_computed,computed,numeric metric + threshold,computed pipeline outputs,include edge cases and missing evidence,list top 3 likely confusions
env.ae.uniform_lighting,phase_2_computed,computed,numeric metric + threshold,computed pipeline outputs,include edge cases and missing evidence,list top 3 likely confusions
env.v1_124.water_features,phase_2_computed,computed,numeric metric + threshold,computed pipeline outputs,include edge cases and missing evidence,list top 3 likely confusions
env.v2a_098.natural_materials_wood_stone,phase_2_computed,computed,numeric metric + threshold,computed pipeline outputs,include edge cases and missing evidence,list top 3 likely confusions
env.v1_023.point_vs_diffuse_illumination,phase_2_computed,computed,numeric metric + threshold,computed pipeline outputs,include edge cases and missing evidence,list top 3 likely confusions
env.v1_109.angular_vs_curvilinear,phase_2_computed,computed,numeric metric + threshold,computed pipeline outputs,include edge cases and missing evidence,list top 3 likely confusions
env.v1_128.nature_vs_urban_view,phase_2_computed,computed,numeric metric + threshold,computed pipeline outputs,include edge cases and missing evidence,list top 3 likely confusions
