tag_id,phase,evidence_type,label_type,evidence_required,negative_samples,confusable_tags
env.ae.clear_exits/wayfinding_signage,phase_4_sensor,sensor,sensor measurement,sensor readings,include edge cases and missing evidence,list top 3 likely confusions
env.ae.cool_lighting_(high_cct),phase_4_sensor,sensor,sensor measurement,sensor readings,include edge cases and missing evidence,list top 3 likely confusions
env.ae.dynamic_lighting,phase_4_sensor,sensor,sensor measurement,sensor readings,include edge cases and missing evidence,list top 3 likely confusions
env.ae.hazard_indicators,phase_4_sensor,sensor,sensor measurement,sensor readings,include edge cases and missing evidence,list top 3 likely confusions
env.ae.high_clutter,phase_4_sensor,sensor,sensor measurement,sensor readings,include edge cases and missing evidence,list top 3 likely confusions
env.ae.irregular_pattern,phase_4_sensor,sensor,sensor measurement,sensor readings,include edge cases and missing evidence,list top 3 likely confusions
env.ae.maze-like_layout,phase_4_sensor,sensor,sensor measurement,sensor readings,include edge cases and missing evidence,list top 3 likely confusions
env.ae.minimal_signage,phase_4_sensor,sensor,sensor measurement,sensor readings,include edge cases and missing evidence,list top 3 likely confusions
env.ae.religious_symbols,phase_4_sensor,sensor,sensor measurement,sensor readings,include edge cases and missing evidence,list top 3 likely confusions
env.ae.seating_available,phase_4_sensor,sensor,sensor measurement,sensor readings,include edge cases and missing evidence,list top 3 likely confusions
env.ae.soft_acoustic_treatments,phase_4_sensor,sensor,sensor measurement,sensor readings,include edge cases and missing evidence,list top 3 likely confusions
env.ae.text/information_density_high,phase_4_sensor,sensor,sensor measurement,sensor readings,include edge cases and missing evidence,list top 3 likely confusions
env.ae.visible_hvac_vents,phase_4_sensor,sensor,sensor measurement,sensor readings,include edge cases and missing evidence,list top 3 likely confusions
env.ae.warm_lighting,phase_4_sensor,sensor,sensor measurement,sensor readings,include edge cases and missing evidence,list top 3 likely confusions
cnfa.biophilic.natural_material_ratio,phase_4_sensor,sensor,sensor measurement,sensor readings,include edge cases and missing evidence,list top 3 likely confusions
cnfa.cognitive.activity_zones_count,phase_4_sensor,sensor,sensor measurement,sensor readings,include edge cases and missing evidence,list top 3 likely confusions
cnfa.cognitive.landmark_salience,phase_4_sensor,sensor,sensor measurement,sensor readings,include edge cases and missing evidence,list top 3 likely confusions
cnfa.cognitive.legibility_score,phase_4_sensor,sensor,sensor measurement,sensor readings,include edge cases and missing evidence,list top 3 likely confusions
cnfa.depth.depth_variance,phase_4_sensor,sensor,sensor measurement,sensor readings,include edge cases and missing evidence,list top 3 likely confusions
cnfa.depth.mean_depth,phase_4_sensor,sensor,sensor measurement,sensor readings,include edge cases and missing evidence,list top 3 likely confusions
cnfa.dynamic.optic_flow_magnitude,phase_4_sensor,sensor,sensor measurement,sensor readings,include edge cases and missing evidence,list top 3 likely confusions
cnfa.dynamic.path_glare_max,phase_4_sensor,sensor,sensor measurement,sensor readings,include edge cases and missing evidence,list top 3 likely confusions
cnfa.dynamic.reflection_flow,phase_4_sensor,sensor,sensor measurement,sensor readings,include edge cases and missing evidence,list top 3 likely confusions
cnfa.dynamic.revelation_rate,phase_4_sensor,sensor,sensor measurement,sensor readings,include edge cases and missing evidence,list top 3 likely confusions
cnfa.dynamic.texture_gradient,phase_4_sensor,sensor,sensor measurement,sensor readings,include edge cases and missing evidence,list top 3 likely confusions
cnfa.fluency.anomaly_count,phase_4_sensor,sensor,sensor measurement,sensor readings,include edge cases and missing evidence,list top 3 likely confusions
cnfa.fluency.autoencoder_recon_error,phase_4_sensor,sensor,sensor measurement,sensor readings,include edge cases and missing evidence,list top 3 likely confusions
cnfa.fluency.clutter_density_count,phase_4_sensor,sensor,sensor measurement,sensor readings,include edge cases and missing evidence,list top 3 likely confusions
cnfa.fluency.color_palette_entropy,phase_4_sensor,sensor,sensor measurement,sensor readings,include edge cases and missing evidence,list top 3 likely confusions
cnfa.fluency.compression_ratio,phase_4_sensor,sensor,sensor measurement,sensor readings,include edge cases and missing evidence,list top 3 likely confusions
