tag_id,canonical_name,relation_count
env.v2a_070.prospect_refuge_ability_to_see_without_being_seen,Prospect–refuge: ability to see without being seen,4
env.ae.artworks_prominent,Artworks Prominent,2
env.ae.barriers/guards_present,Barriers/Guards Present,2
env.ae.clear_circulation_paths,Clear Circulation Paths,2
env.ae.clear_exits/wayfinding_signage,Clear Exits/Wayfinding Signage,2
env.ae.clear_sightlines,Clear Sightlines,2
env.ae.commercial_branding,Commercial Branding,2
env.ae.compartmentalized_plan,Compartmentalized Plan,2
env.ae.complex_geometry,Complex Geometry,2
env.ae.concrete_prominent,Concrete Prominent,2
env.ae.cool_color_palette,Cool Color Palette,2
env.ae.cool_lighting_(high_cct),Cool Lighting (High CCT),2
env.ae.crowded_space,Crowded Space,2
env.ae.curvilinear_forms,Curvilinear Forms,2
env.ae.daylighting,Daylighting,2
env.ae.dynamic_lighting,Dynamic Lighting,2
env.ae.fans_visible,Fans Visible,2
env.ae.fractal-like_pattern,Fractal-Like Pattern,2
env.ae.glare_present,Glare Present,2
env.ae.glass_prominent,Glass Prominent,2
env.ae.hard_reflective_surfaces,Hard Reflective Surfaces,2
env.ae.hard_seating,Hard Seating,2
env.ae.hazard_indicators,Hazard Indicators,2
env.ae.high_ceiling,High Ceiling,2
env.ae.high_ceiling_+_hard_surfaces,High Ceiling + Hard Surfaces,2
env.ae.high_cleanliness,High Cleanliness,2
env.ae.high_clutter,High Clutter,2
env.ae.high_color_contrast,High Color Contrast,2
env.ae.high_color_entropy,High Color Entropy,2
env.ae.high_contrast_lighting,High Contrast Lighting,2
env.ae.high_edge_density,High Edge Density,2
env.ae.high_fractal_dimension_(2d),High Fractal Dimension (2D),2
env.ae.high_illuminance,High Illuminance,2
env.ae.high_orderliness,High Orderliness,2
env.ae.high_saturation,High Saturation,2
env.ae.high_seating_density,High Seating Density,2
env.ae.high_spatial_frequency_content,High Spatial Frequency Content,2
env.ae.high_symmetry,High Symmetry,2
env.ae.high_texture_complexity,High Texture Complexity,2
env.ae.home-like_decor,Home-like Decor,2
env.ae.indoor-outdoor_continuity,Indoor-Outdoor Continuity,2
env.ae.indoor_plants,Indoor Plants,2
env.ae.institutional_decor,Institutional Decor,2
env.ae.irregular_pattern,Irregular Pattern,2
env.ae.large_enclosure_volume,Large Enclosure Volume,2
env.ae.large_window_area,Large Window Area,2
env.ae.low_ceiling,Low Ceiling,2
env.ae.low_edge_density,Low Edge Density,2
env.ae.low_illuminance,Low Illuminance,2
env.ae.low_orderliness,Low Orderliness,2
