rank,tag_id,canonical_name,relation_count,alias_count,ns,note
1,env.v2a_070.prospect_refuge_ability_to_see_without_being_seen,Prospect–refuge: ability to see without being seen,4,10,env,
2,env.ae.clear_sightlines,Clear Sightlines,2,7,env,
3,env.ae.high_ceiling,High Ceiling,2,7,env,
4,env.ae.high_ceiling_+_hard_surfaces,High Ceiling + Hard Surfaces,2,7,env,
5,env.ae.high_cleanliness,High Cleanliness,2,7,env,
6,env.ae.high_color_contrast,High Color Contrast,2,7,env,
7,env.ae.high_color_entropy,High Color Entropy,2,7,env,
8,env.ae.high_contrast_lighting,High Contrast Lighting,2,7,env,
9,env.ae.high_edge_density,High Edge Density,2,7,env,
10,env.ae.high_fractal_dimension_(2d),High Fractal Dimension (2D),2,7,env,
11,env.ae.high_saturation,High Saturation,2,7,env,
12,env.ae.high_seating_density,High Seating Density,2,7,env,
13,env.ae.high_spatial_frequency_content,High Spatial Frequency Content,2,7,env,
14,env.ae.high_symmetry,High Symmetry,2,7,env,
15,env.ae.high_texture_complexity,High Texture Complexity,2,7,env,
16,env.ae.indoor-outdoor_continuity,Indoor-Outdoor Continuity,2,7,env,
17,env.ae.institutional_decor,Institutional Decor,2,7,env,
18,env.ae.irregular_pattern,Irregular Pattern,2,7,env,
19,env.ae.large_enclosure_volume,Large Enclosure Volume,2,7,env,
20,env.ae.large_window_area,Large Window Area,2,7,env,
21,env.ae.low_ceiling,Low Ceiling,2,7,env,
22,env.ae.low_edge_density,Low Edge Density,2,7,env,
23,env.ae.low_saturation,Low Saturation,2,7,env,
24,env.ae.low_spatial_frequency_content,Low Spatial Frequency Content,2,7,env,
25,env.ae.low_symmetry,Low Symmetry,2,7,env,
26,env.ae.low_texture_complexity,Low Texture Complexity,2,7,env,
27,env.ae.maze-like_layout,Maze-Like Layout,2,7,env,
28,env.ae.minimal_signage,Minimal Signage,2,7,env,
29,env.ae.narrow_corridor,Narrow Corridor,2,7,env,
30,env.ae.natural/earthy_palette,Natural/Earthy Palette,2,7,env,contains /
31,env.ae.occluded_sightlines,Occluded Sightlines,2,7,env,
32,env.ae.open_plan,Open Plan,2,7,env,
33,env.ae.poor_visibility_/_dark_corners,Poor Visibility / Dark Corners,2,7,env,contains /
34,env.ae.public/exposed_area,Public/Exposed Area,2,7,env,contains /
35,env.ae.repeating_pattern,Repeating Pattern,2,7,env,
36,env.ae.seating_available,Seating Available,2,7,env,
